kiam,когда
tiam,тогда
ĉiam,всегда
neniam,никогда
kiel,как
tiel,так
ĉiel,всаческе
neniel,никак
kie,где
tie,там
ĉie,везде
nenie,нигде
kien,куда
tien,туда
ĉien,вездену
nenien,никуда
kies,чеј
ties,тово
ĉies,всех
nenies,ничей
kio,што
tio,то
ĉio,всо
nenio,ништо
kiom,сколко
tiom,столко
ĉiom,вес
neniom,нисколко
kiu,ктор
tiu,тот
ĉiu,кажда
neniu,никтор
kiun,kiun
tiun,tiun
ĉiun,ĉiun
neniun,neniun
kia,какой
tia,такой
iam,когдато
iom,столкото
ies,чейто
iel,както
iun,ктотону
ie,гдето
ien,кудато
io,штото
iu,ктото
